timestamp,anomaly_reason,detected_objects
2025-10-28 17:17:46,Mobile phone detected,cell phone
2025-10-28 17:17:46,Mobile phone detected,cell phone
2025-10-28 17:17:46,Mobile phone detected,cell phone
2025-10-28 17:17:47,Mobile phone detected,cell phone
2025-10-28 17:17:47,Mobile phone detected,cell phone
2025-10-28 17:17:47,Mobile phone detected,cell phone
2025-10-28 17:17:47,Mobile phone detected,cell phone
2025-10-28 17:17:47,Mobile phone detected,cell phone
2025-10-28 17:17:47,Mobile phone detected,cell phone
2025-10-28 17:17:48,Mobile phone detected,cell phone
2025-10-28 17:17:48,Mobile phone detected,cell phone
2025-10-28 17:17:48,Mobile phone detected,cell phone
2025-10-28 17:17:48,Mobile phone detected,"cell phone, book"
2025-10-28 17:17:48,Mobile phone detected,cell phone
2025-10-28 17:17:48,Mobile phone detected,cell phone
2025-10-28 17:17:49,Mobile phone detected,"book, cell phone"
2025-10-28 17:17:49,Mobile phone detected,cell phone
2025-10-28 17:17:49,Mobile phone detected,cell phone
2025-10-28 17:17:49,Mobile phone detected,cell phone
2025-10-28 17:17:49,Mobile phone detected,cell phone
2025-10-28 17:17:49,Mobile phone detected,cell phone
2025-10-28 17:17:50,Mobile phone detected,cell phone
2025-10-28 17:17:50,Mobile phone detected,cell phone
2025-10-28 17:17:50,Mobile phone detected,cell phone
2025-10-28 17:17:50,Mobile phone detected,"book, cell phone"
2025-10-28 17:17:51,Mobile phone detected,"book, cell phone"
2025-10-28 17:17:51,Mobile phone detected,cell phone
2025-10-28 17:17:51,Mobile phone detected,"cell phone, book"
2025-10-28 17:17:51,Mobile phone detected,"book, cell phone"
2025-10-28 17:17:51,Mobile phone detected,"book, cell phone"
2025-10-28 17:17:51,Mobile phone detected,cell phone
2025-10-28 17:17:52,Mobile phone detected,"cell phone, book"
2025-10-28 17:17:52,Mobile phone detected,cell phone
2025-10-28 17:17:52,Mobile phone detected,cell phone
2025-10-28 17:17:52,Mobile phone detected,cell phone
2025-10-28 17:17:52,Multiple people detected: 2 persons,"person, person"
2025-10-28 17:17:53,Mobile phone detected,"person, cell phone"
2025-10-28 17:17:54,Mobile phone detected,"book, cell phone"
2025-10-28 17:17:54,Mobile phone detected,"laptop, cell phone"
2025-10-28 17:17:54,Mobile phone detected,"laptop, cell phone"
2025-10-28 17:17:54,Mobile phone detected,"cell phone, keyboard"
2025-10-28 17:17:56,Mobile phone detected,cell phone
2025-10-28 17:17:56,Mobile phone detected,cell phone
2025-10-28 17:17:58,Mobile phone detected,"book, cell phone"
2025-10-28 17:17:58,Mobile phone detected,cell phone
2025-10-28 17:17:59,Mobile phone detected,"handbag, cell phone"
2025-10-28 17:18:01,Mobile phone detected,cell phone
2025-10-28 17:18:01,Mobile phone detected,cell phone
2025-10-28 17:18:01,Mobile phone detected,cell phone
2025-10-28 17:18:02,Mobile phone detected,cell phone
2025-10-28 17:18:02,Mobile phone detected,cell phone
2025-10-28 17:18:02,Mobile phone detected,cell phone
2025-10-28 17:18:03,Mobile phone detected,cell phone
2025-10-28 17:18:04,Mobile phone detected,cell phone
2025-10-28 17:18:05,Mobile phone detected,cell phone
2025-10-28 17:18:05,Mobile phone detected,cell phone
2025-10-28 17:18:05,Mobile phone detected,cell phone
2025-10-28 17:18:07,Mobile phone detected,cell phone
2025-10-28 17:18:07,Mobile phone detected,cell phone
2025-10-28 17:18:08,Mobile phone detected,cell phone
2025-10-28 17:18:08,Mobile phone detected,"cell phone, keyboard"
2025-10-28 17:18:08,Mobile phone detected,"cell phone, keyboard"
2025-10-28 17:18:08,Mobile phone detected,"keyboard, cell phone"
2025-10-28 17:18:08,Mobile phone detected,cell phone
2025-10-28 17:18:08,Mobile phone detected,cell phone
2025-10-28 17:18:09,Mobile phone detected,cell phone
2025-10-28 17:18:09,Mobile phone detected,"cell phone, keyboard"
2025-10-28 17:18:09,Mobile phone detected,"cell phone, keyboard"
2025-10-28 17:18:09,Mobile phone detected,cell phone
